festival_id,demographic_id,country_id,attendance,economic_impact,genre_id
0,1,1,200000.0,100000000.0,1
1,2,2,400000.0,150000000.0,2
2,3,3,500000.0,130000000.0,1
3,4,4,90000.0,80000000.0,3
5,5,1,100000.0,60000000.0,4
6,6,5,60000.0,20000000.0,5
7,7,6,40000.0,15000000.0,6
8,8,7,200000.0,50000000.0,7
9,9,6,200000.0,70000000.0,8
10,10,4,100000.0,40000000.0,9
11,11,2,200000.0,60000000.0,1
12,12,6,150000.0,30000000.0,10
13,13,2,200000.0,55000000.0,11
14,14,2,150000.0,85000000.0,3
15,15,6,100000.0,35000000.0,12
16,16,4,75000.0,45000000.0,13
17,17,1,80000.0,40000000.0,14
18,2,8,90000.0,25000000.0,2
19,18,1,40000.0,15000000.0,15
20,19,1,45000.0,20000000.0,1
21,20,1,30000.0,12000000.0,1
22,21,1,25000.0,10000000.0,16
23,22,4,40000.0,30000000.0,17
24,23,1,80000.0,25000000.0,18
25,24,1,60000.0,30000000.0,2
27,24,1,70000.0,35000000.0,2
30,25,6,35000.0,18000000.0,8
32,26,6,80000.0,45000000.0,19
35,27,1,45000.0,22000000.0,20
36,13,9,30000.0,12000000.0,11
37,28,10,35000.0,10000000.0,10
38,29,4,50000.0,25000000.0,18
39,30,1,30000.0,15000000.0,21
40,19,1,60000.0,40000000.0,1
42,13,5,75000.0,30000000.0,11
43,31,6,35000.0,15000000.0,7
47,17,6,50000.0,22000000.0,14
48,32,1,30000.0,15000000.0,19
49,26,1,80000.0,35000000.0,19
50,33,4,35000.0,18000000.0,7
51,34,3,20000.0,12000000.0,5
53,35,4,25000.0,12000000.0,22
54,31,11,50000.0,25000000.0,7
55,36,1,20000.0,10000000.0,23
58,37,1,60000.0,30000000.0,14
59,38,12,25000.0,10000000.0,24
60,39,8,60000.0,30000000.0,25
63,40,13,50000.0,20000000.0,26
64,7,6,30000.0,12000000.0,6
65,41,4,40000.0,25000000.0,27
68,42,2,30000.0,15000000.0,28
70,43,6,25000.0,12000000.0,24
71,44,1,35000.0,15000000.0,29
72,45,1,40000.0,20000000.0,30
75,46,3,20000.0,15000000.0,31
76,25,14,50000.0,30000000.0,8
79,47,15,45000.0,25000000.0,2
80,48,1,25000.0,12000000.0,32
88,49,12,35000.0,20000000.0,33
89,50,16,30000.0,15000000.0,34
90,51,17,25000.0,12000000.0,35
118,52,10,25000.0,12000000.0,36
123,53,18,15000.0,8000000.0,37
124,54,19,10000.0,5000000.0,38
125,55,20,15000.0,7000000.0,18
126,56,21,20000.0,10000000.0,39
127,57,22,12000.0,6000000.0,1
128,28,23,10000.0,4000000.0,10
129,58,24,15000.0,7000000.0,11
130,59,25,18000.0,9000000.0,40
131,60,15,25000.0,12000000.0,41
132,61,16,30000.0,15000000.0,42
136,17,26,10000.0,5000000.0,14
137,29,27,12000.0,6000000.0,18
138,62,13,10000.0,5000000.0,39
167,13,28,8000.0,4000000.0,11
168,63,29,10000.0,5000000.0,43
170,64,30,12000.0,6000000.0,44
171,65,31,5000.0,2000000.0,45
